"HH7_region","country_orig","name_orig","country_matched","NAME_1_matched","NAME_2_matched","NAME_3_matched","NAME_4_matched","NAME_1_matched_fuzz","NAME_2_matched_fuzz","NAME_3_matched_fuzz","NAME_4_matched_fuzz"
" EUA","Tonga","'Eua","Tonga","'Eua",NA,NA,NA,NA,NA,NA,NA
"Abia","Nigeria","Abia","Nigeria","Abia",NA,NA,NA,NA,NA,NA,NA
"Adamawa","Nigeria","Adamawa","Nigeria","Adamawa",NA,NA,NA,NA,NA,NA,NA
"Akwa Ibom","Nigeria","Akwa Ibom","Nigeria","Akwa Ibom",NA,NA,NA,NA,NA,NA,NA
"Alto Paraguay","Paraguay","Alto Paraguay","Paraguay","Alto Paraguay",NA,NA,NA,NA,NA,NA,NA
"Anambra","Nigeria","Anambra","Nigeria","Anambra",NA,NA,NA,NA,NA,NA,NA
"ASHANTI","Ghana","Ashanti","Ghana","Ashanti",NA,NA,NA,NA,NA,NA,NA
"BABIL","Iraq","Babil","Iraq","Babil",NA,NA,NA,NA,NA,NA,NA
"BAGHDAD","Iraq","Baghdad","Iraq","Baghdad",NA,NA,NA,NA,NA,NA,NA
"Banjul","Gambia","Banjul","Gambia","Banjul",NA,NA,NA,NA,NA,NA,NA
"Bauchi","Nigeria","Bauchi","Nigeria","Bauchi",NA,NA,NA,NA,NA,NA,NA
"Bayelsa","Nigeria","Bayelsa","Nigeria","Bayelsa",NA,NA,NA,NA,NA,NA,NA
"Benue","Nigeria","Benue","Nigeria","Benue",NA,NA,NA,NA,NA,NA,NA
"BEREA","Lesotho","Berea","Lesotho","Berea",NA,NA,NA,NA,NA,NA,NA
"Biombo","Guinea-Bissau","Biombo","Guinea-Bissau","Biombo",NA,NA,NA,NA,NA,NA,NA
"Borno","Nigeria","Borno","Nigeria","Borno",NA,NA,NA,NA,NA,NA,NA
"BOUENZA","Republic of Congo","Bouenza","Republic of Congo","Bouenza",NA,NA,NA,NA,NA,NA,NA
"BRAZZAVILLE","Republic of Congo","Brazzaville","Republic of Congo","Brazzaville",NA,NA,NA,NA,NA,NA,NA
"BROKOPONDO","Suriname","Brokopondo","Suriname","Brokopondo",NA,NA,NA,NA,NA,NA,NA
"BRONG AHAFO","Ghana","Brong Ahafo","Ghana","Brong Ahafo",NA,NA,NA,NA,NA,NA,NA
"Bulawayo","Zimbabwe","Bulawayo","Zimbabwe","Bulawayo",NA,NA,NA,NA,NA,NA,NA
"Cacheu","Guinea-Bissau","Cacheu","Guinea-Bissau","Cacheu",NA,NA,NA,NA,NA,NA,NA
"CENTRAL","Ghana","Central","Ghana","Central",NA,NA,NA,NA,NA,NA,NA
"Central","Paraguay","Central","Paraguay","Central",NA,NA,NA,NA,NA,NA,NA
"COMMEWIJNE","Suriname","Commewijne","Suriname","Commewijne",NA,NA,NA,NA,NA,NA,NA
"CORONIE","Suriname","Coronie","Suriname","Coronie",NA,NA,NA,NA,NA,NA,NA
"Cross River","Nigeria","Cross River","Nigeria","Cross River",NA,NA,NA,NA,NA,NA,NA
"CUVETTE","Republic of Congo","Cuvette","Republic of Congo","Cuvette",NA,NA,NA,NA,NA,NA,NA
"Delta","Nigeria","Delta","Nigeria","Delta",NA,NA,NA,NA,NA,NA,NA
"Dhaka","Bangladesh","Dhaka","Bangladesh","Dhaka",NA,NA,NA,NA,NA,NA,NA
"EASTERN","Ghana","Eastern","Ghana","Eastern",NA,NA,NA,NA,NA,NA,NA
"Ebonyi","Nigeria","Ebonyi","Nigeria","Ebonyi",NA,NA,NA,NA,NA,NA,NA
"Edo","Nigeria","Edo","Nigeria","Edo",NA,NA,NA,NA,NA,NA,NA
"Ekiti","Nigeria","Ekiti","Nigeria","Ekiti",NA,NA,NA,NA,NA,NA,NA
"Enugu","Nigeria","Enugu","Nigeria","Enugu",NA,NA,NA,NA,NA,NA,NA
"Gombe","Nigeria","Gombe","Nigeria","Gombe",NA,NA,NA,NA,NA,NA,NA
"GREATER ACCRA","Ghana","Greater Accra","Ghana","Greater Accra",NA,NA,NA,NA,NA,NA,NA
"GURIA","Georgia","Guria","Georgia","Guria",NA,NA,NA,NA,NA,NA,NA
"HA APAI","Tonga","Ha'apai","Tonga","Ha'apai",NA,NA,NA,NA,NA,NA,NA
"Harare","Zimbabwe","Harare","Zimbabwe","Harare",NA,NA,NA,NA,NA,NA,NA
"IMERETI","Georgia","Imereti","Georgia","Imereti",NA,NA,NA,NA,NA,NA,NA
"Imo","Nigeria","Imo","Nigeria","Imo",NA,NA,NA,NA,NA,NA,NA
"Jigawa","Nigeria","Jigawa","Nigeria","Jigawa",NA,NA,NA,NA,NA,NA,NA
"Kaduna","Nigeria","Kaduna","Nigeria","Kaduna",NA,NA,NA,NA,NA,NA,NA
"Kano","Nigeria","Kano","Nigeria","Kano",NA,NA,NA,NA,NA,NA,NA
"Kara","Togo","Kara","Togo","Kara",NA,NA,NA,NA,NA,NA,NA
"Katsina","Nigeria","Katsina","Nigeria","Katsina",NA,NA,NA,NA,NA,NA,NA
"Kebbi","Nigeria","Kebbi","Nigeria","Kebbi",NA,NA,NA,NA,NA,NA,NA
"Khulna","Bangladesh","Khulna","Bangladesh","Khulna",NA,NA,NA,NA,NA,NA,NA
"Kogi","Nigeria","Kogi","Nigeria","Kogi",NA,NA,NA,NA,NA,NA,NA
"KOUILOU","Republic of Congo","Kouilou","Republic of Congo","Kouilou",NA,NA,NA,NA,NA,NA,NA
"KVEMO KARTLI","Georgia","Kvemo Kartli","Georgia","Kvemo Kartli",NA,NA,NA,NA,NA,NA,NA
"Kwara","Nigeria","Kwara","Nigeria","Kwara",NA,NA,NA,NA,NA,NA,NA
"Lagos","Nigeria","Lagos","Nigeria","Lagos",NA,NA,NA,NA,NA,NA,NA
"LERIBE","Lesotho","Leribe","Lesotho","Leribe",NA,NA,NA,NA,NA,NA,NA
"LIKOUALA","Republic of Congo","Likouala","Republic of Congo","Likouala",NA,NA,NA,NA,NA,NA,NA
"MAFETENG","Lesotho","Mafeteng","Lesotho","Mafeteng",NA,NA,NA,NA,NA,NA,NA
"Manicaland","Zimbabwe","Manicaland","Zimbabwe","Manicaland",NA,NA,NA,NA,NA,NA,NA
"Maritime","Togo","Maritime","Togo","Maritime",NA,NA,NA,NA,NA,NA,NA
"MAROWIJNE","Suriname","Marowijne","Suriname","Marowijne",NA,NA,NA,NA,NA,NA,NA
"MASERU","Lesotho","Maseru","Lesotho","Maseru",NA,NA,NA,NA,NA,NA,NA
"Mashonaland Central","Zimbabwe","Mashonaland Central","Zimbabwe","Mashonaland Central",NA,NA,NA,NA,NA,NA,NA
"Mashonaland East","Zimbabwe","Mashonaland East","Zimbabwe","Mashonaland East",NA,NA,NA,NA,NA,NA,NA
"Mashonaland West","Zimbabwe","Mashonaland West","Zimbabwe","Mashonaland West",NA,NA,NA,NA,NA,NA,NA
"Masvingo","Zimbabwe","Masvingo","Zimbabwe","Masvingo",NA,NA,NA,NA,NA,NA,NA
"Matabeleland North","Zimbabwe","Matabeleland North","Zimbabwe","Matabeleland North",NA,NA,NA,NA,NA,NA,NA
"Matabeleland South","Zimbabwe","Matabeleland South","Zimbabwe","Matabeleland South",NA,NA,NA,NA,NA,NA,NA
"Midlands","Zimbabwe","Midlands","Zimbabwe","Midlands",NA,NA,NA,NA,NA,NA,NA
"MOKHOTLONG","Lesotho","Mokhotlong","Lesotho","Mokhotlong",NA,NA,NA,NA,NA,NA,NA
"NIARI","Republic of Congo","Niari","Republic of Congo","Niari",NA,NA,NA,NA,NA,NA,NA
